"","Parcel","Year","Perennial","ATTO_Cover","ATTO_Relative_Cover","ERNA10_Cover","ERNA10_Relative_Cover"
"1","LAW029",2022,11.85,3.6,30.379746835443,0.95,8.0168776371308
"2","LAW029",2023,19.2,6.05,31.5104166666667,3.475,18.0989583333333
"3","LAW039",2023,13.0833333333333,0,0,0,0
"4","LAW069",2023,18.9090909090909,0,0,8.36363636363636,44.2307692307692
"5","LAW104",2023,9.83333333333333,4.91666666666667,50,0,0
"6","LAW119",2023,30.1935483870968,5.75806451612903,19.0705128205128,7.54838709677419,25
"7","PLC202",2023,23.1666666666667,2.58333333333333,11.1510791366906,3.08333333333333,13.3093525179856
"8","PLC219",2022,16,1.52631578947368,9.53947368421053,0.578947368421053,3.61842105263158
"9","PLC219",2023,16.6896551724138,1.20689655172414,7.23140495867769,0.931034482758621,5.57851239669421
"10","PLC227",2023,15.1875,0.21875,1.440329218107,1.25,8.23045267489712
"11","PLC230",2023,16.5,4.675,28.3333333333333,0.3,1.81818181818182
