parcel,sheet,survey_year,n_transects,mean_cover_pct,stdev_cover_pct,ci80_margin,upper_ci80_pct,target_cover_pct,cover_met,species_richness,target_species_richness,species_richness_met
IND105,IND105,1999,12,8.33025457715083,3.8160741166001473,1.5019626224732419,9.832217199624072,15.3,FALSE,4,3,TRUE
IND105,IND105,2001,12,12.379519257553282,6.446548950808378,2.537287084110588,14.91680634166387,15.3,FALSE,3,3,TRUE
IND105,IND105,2017,12,22.710972324662077,8.688578756039032,3.4197240764317853,26.13069640109386,15.3,TRUE,3,3,TRUE
IND105,IND105,2018,12,13.069446819809835,6.806286591798433,2.6788756576431014,15.748322477452938,15.3,TRUE,4,3,TRUE
IND123,IND123,2001,18,4.964304476182111,4.037462757267216,1.2688959599272789,6.23320043610939,15.3,FALSE,4,3,TRUE
IND123,IND123,2006,18,16.54542235365072,8.78758364536822,2.761766499284832,19.307188852935553,15.3,TRUE,4,3,TRUE
IND131N,IND131N,2001,9,3.9943639291465383,5.637551665945307,2.6248728254881444,6.619236754634683,15.3,FALSE,4,3,TRUE
IND131N,IND131N,2006,9,13.483091787439614,15.199752112887094,7.077082151864115,20.56017393930373,15.3,TRUE,6,3,TRUE
IND131N,IND131N,2012,9,15.360708534621576,11.642850148939289,5.4209704456973435,20.78167898031892,15.3,TRUE,5,3,TRUE
IND131N,IND131N,2018,9,7.32023755139333,3.9170882027546545,1.8238162570749266,9.144053808468257,15.3,FALSE,4,3,TRUE
IND131S,IND131S,2001,21,2.8115942028985508,4.942802969695179,1.4295231368582386,4.241117339756789,15.3,FALSE,4,3,TRUE
IND131S,IND131S,2006,21,7.484376488360735,9.117608539330009,2.636931401008746,10.121307889369481,15.3,FALSE,7,3,TRUE
IND131S,IND131S,2012,21,8.135196067569815,9.268501980245025,2.680571753721707,10.815767821291523,15.3,FALSE,7,3,TRUE
IND131S,IND131S,2016,21,7.361110961438323,7.186640963902462,2.078470373425653,9.439581334863975,15.3,FALSE,7,3,TRUE
IND131S,IND131S,2017,21,10.15973675092216,9.907953026107915,2.865509342889978,13.02524609381214,15.3,FALSE,6,3,TRUE
BLK16E,BLK016E,1999,9,6.76587955849277,6.446775227363525,3.0016514453529513,9.767531003845722,30.6,FALSE,7,4.5,TRUE
BLK16E,BLK016E,2002,9,14.294587050181475,8.91695846386775,4.151781366226868,18.446368416408344,30.6,FALSE,6,4.5,TRUE
BLK16E,BLK016E,2005,9,7.89492528164382,5.339527692142755,2.4861113423954415,10.381036624039261,30.6,FALSE,7,4.5,TRUE
BLK16E,BLK016E,2010,9,36.01557306862139,19.716513809969275,9.180109448180472,45.19568251680187,30.6,TRUE,11,4.5,TRUE
